ราคากลางเปิดตลาด ,,,,
การยางแห่งประเทศไทย ฝ่ายเศรษฐกิจยาง,,,,
ว/ด/ป,ราคากลาง,,,
,น้ำยางสด (DRC100%),ยางก้อนถ้วย (DRC100%),ยางแผ่นดิบ,"ยางแผ่นรมควัน 
(ไม่อัดก้อน)"
คอลัมน์1,คอลัมน์2,คอลัมน์3,คอลัมน์4,คอลัมน์5
14 มีนาคม 2561,-,-,46.00,48.55
15 มีนาคม 2561,-,-,46.15,48.88
16 มีนาคม 2561,-,-,46.35,49.08
19 มีนาคม 2561,-,-,46.29,49.01
20 มีนาคม 2561,-,-,45.44,48.56
21 มีนาคม 2561,-,-,45.62,48.70
22 มีนาคม 2561,-,-,45.48,48.41
23 มีนาคม 2561,-,-,45.56,49.00
26 มีนาคม 2561,-,-,44.80,48.50
27 มีนาคม 2561,-,-,44.51,48.50
28 มีนาคม 2561,-,-,44.88,48.00
29 มีนาคม 2561,-,-,44.89,48.00
30 มีนาคม 2561,-,-,45.43,48.43
2 เมษายน 2561,-,-,45.90,48.66
3 เมษายน 2561,-,-,46.22,48.88
4 เมษายน 2561,-,-,45.31,48.50
5 เมษายน 2561,-,-,45.56,48.50
9 เมษายน 2561,-,-,45.64,48.21
10 เมษายน 2561,-,-,45.83,48.51
11 เมษายน 2561,-,-,46.05,48.61
18 เมษายน 2561,-,-,46.77,48.62
19 เมษายน 2561,-,-,46.86,48.90
20 เมษายน 2561,-,-,47.02,49.27
23 เมษายน 2561,-,-,47.55,49.59
24 เมษายน 2561,-,-,46.89,49.75
25 เมษายน 2561,-,-,47.90,49.88
26 เมษายน 2561,-,-,48.09,50.06
27 เมษายน 2561,-,-,48.09,50.13
30 เมษายน 2561,-,-,48.09,50.47
2 พฤษภาคม 2561,-,-,46.40,50.79
3 พฤษภาคม 2561,-,-,48.75,50.79
4 พฤษภาคม 2561,-,-,48.40,50.89
7 พฤษภาคม 2561,-,-,48.88,51.17
8 พฤษภาคม 2561,-,-,48.29,51.44
9 พฤษภาคม 2561,-,-,48.60,51.42
10 พฤษภาคม 2561,-,-,48.96,51.61
11 พฤษภาคม 2561,-,-,49.09,52.00
15 พฤษภาคม 2561,-,-,48.81,52.33
16 พฤษภาคม 2561,-,-,48.81,52.28
17 พฤษภาคม 2561,-,-,48.88,52.11
18 พฤษภาคม 2561,-,-,49.09,52.24
21 พฤษภาคม 2561,-,-,49.09,52.50
22 พฤษภาคม 2561,-,-,49.09,52.69
23 พฤษภาคม 2561,-,-,49.01,53.01
24 พฤษภาคม 2561,-,-,48.86,52.59
25 พฤษภาคม 2561,-,-,48.80,52.49
28 พฤษภาคม 2561,-,-,48.65,52.57
30 พฤษภาคม 2561,-,-,48.49,52.46
31 พฤษภาคม 2561,-,-,48.05,51.89
1 มิถุนายน 2561,-,-,47.68,51.31
4 มิถุนายน 2561,-,-,47.94,51.06
5 มิถุนายน 2561,-,-,48.14,50.95
6 มิถุนายน 2561,-,-,47.65,49.79
7 มิถุนายน 2561,-,-,47.97,49.24
