"Date","Price","Open","High","Low","Vol.","Change %"
"05/28/2013","95.20","94.07","96.10","93.45","61.65K","1.45%"
"05/27/2013","93.83","93.54","94.03","93.25","","-0.54%"
"05/24/2013","94.34","94.50","94.51","93.21","42.47K","-0.08%"
"05/23/2013","94.42","94.35","94.60","92.40","70.98K","-0.04%"
"05/22/2013","94.46","96.03","96.32","94.19","76.82K","-1.79%"
"05/21/2013","96.18","96.89","97.22","95.72","259.16K","-0.77%"
"05/20/2013","96.93","96.25","97.35","95.47","263.80K","0.66%"
"05/17/2013","96.29","95.46","96.74","95.06","156.87K","0.88%"
"05/16/2013","95.45","94.59","95.83","93.50","181.33K","0.94%"
"05/15/2013","94.56","94.48","94.69","92.40","139.80K","0.08%"
"05/14/2013","94.48","95.18","95.91","94.13","107.34K","-0.97%"
"05/13/2013","95.41","96.04","96.04","94.71","134.88K","-0.91%"
"05/10/2013","96.29","96.33","96.49","93.62","139.59K","-0.38%"
"05/09/2013","96.66","96.74","96.99","95.61","130.63K","-0.20%"
"05/08/2013","96.85","95.71","96.99","95.47","113.69K","1.03%"
"05/07/2013","95.86","96.00","96.49","95.17","102.73K","-0.55%"
"05/06/2013","96.39","95.77","97.38","95.11","105.16K","0.59%"
"05/03/2013","95.82","94.24","96.23","93.77","90.58K","1.72%"
"05/02/2013","94.20","91.15","94.45","90.88","83.94K","3.24%"
"05/01/2013","91.24","93.29","93.44","90.32","99.06K","-2.60%"
"04/30/2013","93.68","94.59","94.83","93.08","85.38K","-1.10%"
"04/29/2013","94.72","93.03","94.89","92.67","51.64K","1.58%"
"04/26/2013","93.25","93.50","93.84","92.34","41.46K","-0.70%"
"04/25/2013","93.91","91.83","94.11","91.39","53.46K","2.42%"
"04/24/2013","91.69","89.82","91.97","89.51","44.01K","2.49%"
"04/23/2013","89.46","89.55","89.83","88.09","84.50K","0.30%"
"04/22/2013","89.19","88.20","89.48","87.69","238.73K","1.04%"
"04/19/2013","88.27","88.64","89.06","87.82","231.56K","0.31%"
"04/18/2013","88.00","86.60","88.78","85.90","235.08K","1.18%"
"04/17/2013","86.97","89.19","89.40","86.36","185.68K","-2.31%"
"04/16/2013","89.03","87.67","89.28","86.39","169.00K","0.00%"
"04/15/2013","89.03","91.36","91.36","87.53","175.85K","-2.82%"
"04/12/2013","91.61","93.85","93.85","90.62","156.02K","-2.39%"
"04/11/2013","93.85","94.90","94.96","93.38","89.32K","-1.18%"
"04/10/2013","94.97","94.32","95.12","93.72","105.01K","0.49%"
"04/09/2013","94.51","93.79","94.78","93.18","105.57K","0.89%"
"04/08/2013","93.68","93.12","94.06","92.77","84.34K","0.72%"
"04/05/2013","93.01","93.67","93.86","92.22","110.87K","-0.59%"
"04/04/2013","93.56","94.81","95.13","92.43","119.44K","-1.28%"
"04/03/2013","94.77","97.21","97.23","94.50","126.54K","-2.80%"
